**********************************************************************************************
*                                                                                            *
* Component List (Generic)                                                                   *
*                                                                                            *
* D:\UTENTI\00.LAVORI IN CORSO\METALTRONICA\22-301-0 (SCHEDA SERVIZI 2_02_2024\22-301-0.MAX  *
* Fri Feb 02 15:26:28 2024                                                                   *
*                                                                                            *
**********************************************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X LOC      Y LOC      ROTATION
------------------------------------------------------------------------------------------------------------
566                                          4_10529-ELCART                  85.17 mm   22.94 mm  90      
567                                          4_10529-ELCART                  73.11 mm   22.94 mm  90      
568                                          02.RIF-MONT-SMD                 197.49 mm  203.20 mm 0       
569                                          02.RIF-MONT-SMD                 4.45 mm    197.49 mm 0       
570                                          02.RIF-MONT-SMD                 3.18 mm    -3.81 mm  0       
BZ1        KPEG242          BUZZER_1         BUZZER-P7.62-D13.4-NUM          4.45 mm    146.69 mm 0       
C1         220nF            C                SMD0805-MET                     28.58 mm   4.45 mm   90      
C2         33nF             C                SMD0603                         92.71 mm   9.53 mm   0       
C3         33nF             C                SMD0603                         0.00 mm    6.35 mm   270     
C4         33nF             C                SMD0603                         89.54 mm   118.11 mm 90      
C5         33nF             C                SMD0603                         2.54 mm    194.31 mm 90      
C6         33nF             C                SMD0603                         205.11 mm  194.31 mm 90      
C7         33nF             C                SMD0603                         199.39 mm  130.81 mm 270     
C8         100nF            C                SMD0603                         19.05 mm   174.63 mm 270     
C9         100nF            C                SMD0603                         26.04 mm   170.18 mm 0       
C10        100nF            C                SMD0603                         21.59 mm   170.18 mm 0       
C11        100nF            C                SMD0603                         30.48 mm   170.18 mm 0       
C12        100nF            C                SMD0603                         -0.64 mm   170.18 mm 0       
C13        100nF            C                SMD0603                         41.28 mm   175.26 mm 270     
C14        100nF            C                SMD0603                         3.81 mm    170.18 mm 0       
C15        100nF            C                SMD0603                         46.99 mm   175.26 mm 270     
C16        100nF            C                SMD0603                         8.26 mm    170.18 mm 0       
C17        100nF            C                SMD0603                         12.70 mm   170.18 mm 0       
C18        100nF            C                SMD0603                         34.93 mm   170.18 mm 0       
C19        100nF            C                SMD0603                         15.24 mm   141.61 mm 90      
C20        100nF            C                SMD0603                         139.07 mm  175.90 mm 270     
C21        68pF             C                SMD0603                         136.53 mm  193.04 mm 0       
C22        68pF             C                SMD0603                         142.88 mm  193.04 mm 180     
C23        68pF             C                SMD0603                         145.42 mm  192.41 mm 270     
C30        100nF            C                SMD0603                         81.92 mm   200.03 mm 270     
C31        100nF            C                SMD0603                         62.23 mm   165.10 mm 270     
C32        100nF            C                SMD0603                         81.92 mm   184.79 mm 270     
C33        100nF            C                SMD0603                         62.23 mm   189.87 mm 270     
C34        100nF            C                SMD0603                         81.92 mm   172.09 mm 270     
C35        100nF            C                SMD0603                         57.79 mm   196.85 mm 180     
C36        100nF            C                SMD0603                         62.23 mm   182.88 mm 180     
C37        100nF            C                SMD0603                         62.87 mm   173.36 mm 180     
C38        33nF             C                SMD0603                         80.01 mm   204.47 mm 180     
C39        100nF            C                SMD0603                         57.79 mm   154.31 mm 180     
C40        100nF            C                SMD0603                         62.23 mm   158.12 mm 180     
C41        33nF             C                SMD0603                         114.30 mm  146.69 mm 90      
C42        33nF             C                SMD0603                         104.14 mm  146.69 mm 90      
C43        33nF             C                SMD0603                         133.35 mm  147.32 mm 90      
C44        33nF             C                SMD0603                         121.29 mm  144.15 mm 90      
C45        33nF             C                SMD0603                         147.32 mm  147.32 mm 90      
